			Occupation skills	Credit rating min	Credit rating max	Skills	
	Accountant	Księgowy	EDU × 4	30	70	Accounting, Law, Library Use, Listen, Persuade, Spot Hidden, personal skill, personal skill	
	Acrobat	Akrobata	EDU × 2 + DEX × 2	9	20	Climb, Dodge, Jump, Throw, Spot Hidden, Swim, personal skill, personal skill	
	Stage Actor	Aktor scenowy	EDU × 2 + APP × 2	9	40	Art/Craft (Acting), Disguise, Fighting, History, two interpersonal skills (Charm, Fast Talk, Intimidate, or Persuade), Psychology, personal skill	
	Film Star	Gwiazda filmowa	EDU × 2 + APP × 2	20	90	Art/Craft (Acting), Disguise, Drive Auto, two interpersonal skills (Charm, Fast Talk, Intimidate, or Persuade), Psychology, personal skill, personal skill	
	Agency Detective	Detektyw z agencji	EDU × 2 + (STR × 2 or DEX × 2)	20	45	one interpersonal skill (Charm, Fast Talk, Intimidate or Persuade), Fighting (Brawl), Firearms, Law, Library Use, Psychology, Stealth, Track	
	Alienist 	Alienista	EDU × 4	10	60	Law, Listen, Medicine, Other Language, Psychoanalysis, Psychology, Science (Biology, Chemistry)	
	Animal Trainer	Trener zwierząt	EDU × 2 + (APP × 2 or POW × 2)	10	40	Jump, Listen, Natural World, Psychology, Science (Zoology), Stealth, Track, personal skill	
	Antiquarian 	Antykwariusz	EDU × 4	30	70	Appraise, Art/Craft (any), History, Library Use, Other Language, one interpersonal skill (Charm, Fast Talk, Intimidate, or Persuade), Spot Hidden, personal skill	
	Antique Dealer	Sprzedawca antyków	EDU × 4	30	50	Accounting, Appraise, Drive Auto, two interpersonal skills (Charm, Fast Talk, Intimidate, or Persuade), History, Library Use, Navigate	
	Archaeologis	Archeolog 	EDU × 4	10	40	Appraise, Archaeology, History, Other Language (any), Library Use, Spot Hidden, Mechanical Repair, Navigate or Science 	
	Architect	Architekt	EDU × 4	30	70	Accounting, Art/Craft (Technical Drawing), Law, Own Language, Library Use, Persuade, Psychology, Science (Mathematics)	
	Artist	Artysta	EDU × 2 + (DEX × 2 or POW × 2)	9	50	Art/Craft (any), History or Natural World, one interpersonal skill (Charm, Fast Talk, Intimidate, or Persuade), Other Language, Psychology, Spot Hidden, personal skill, personal skill	
	Asylum Attendant	Pacjent szpitala psychiatrycznego	EDU × 2 + (STR × 2 or DEX × 2)	8	20	Dodge, Fighting (Brawl), First Aid, two interpersonal skills (Charm, Fast Talk, Intimidate, or Persuade), Listen, Psychology, Stealth	
	Assassin 	Zabójca 	EDU × 2 + (DEX × 2 or STR × 2)	30	60	Disguise, Electrical Repair, Fighting, Firearms, Locksmith, Mechanical Repair, Stealth, Psychology	
	Athlete	Atleta	EDU × 2 + (DEX × 2 or STR × 2)	9	70	Climb, Jump, Fighting (Brawl), Ride, one interpersonal skill (Charm, Fast Talk, Intimidate, or Persuade), Swim, Throw, personal skill	
	Author 	Pisarz	EDU × 4	9	30	Art/Craft (Literature), History, Library Use, Natural World or Occult, Other Language, Own Language, Psychology, personal skill	
